Year,Month No,Month,District,Cases,Population,MinTemp,MaxTemp,RainFall
2013,1,January,Colombo,810,2302094,20.6,32.2,108.2
2013,1,January,Gampaha,397,2365454,20.5,32,125.9
2013,1,January,Kalutara,146,1267207,22,31.2,108.2
2013,2,February,Colombo,805,2296729,21.1,32.8,153.7
2013,2,February,Gampaha,297,2359942,20.9,32.6,100.9
2013,2,February,Kalutara,147,1264254,22.4,31.8,153.7
2013,3,March,Colombo,623,2291377,23,33.1,205.4
2013,3,March,Gampaha,240,2354442,23.1,33.5,249.4
2013,3,March,Kalutara,141,1261308,22.9,30.7,205.4
2013,4,April,Colombo,782,2286037,24.6,32,109
2013,4,April,Gampaha,285,2348955,24.3,32.3,90
2013,4,April,Kalutara,145,1258369,24.5,31,109
2013,5,May,Colombo,576,2280710,24.6,30.7,327.5
2013,5,May,Gampaha,246,2343482,24.5,30.8,282.9
2013,5,May,Kalutara,134,1255436,24.4,30.4,327.5
2013,6,June,Colombo,830,2275395,23.8,29,374.4
2013,6,June,Gampaha,273,2338020,23.8,29.2,421.1
2013,6,June,Kalutara,140,1252511,23.6,28.4,374.4
2013,7,July,Colombo,1502,2270093,24,29.3,217.4
2013,7,July,Gampaha,480,2332572,23.8,29.4,237.7
2013,7,July,Kalutara,223,1249592,23.5,28.9,217.4
2013,8,August,Colombo,964,2264802,24,30.5,143.1
2013,8,August,Gampaha,299,2327136,23.7,30.9,149.2
2013,8,August,Kalutara,165,1246680,23.4,29.8,143.1
2013,9,September,Colombo,823,2259525,23.6,29.2,277.2
2013,9,September,Gampaha,290,2321713,23.7,29.6,270.3
2013,9,September,Kalutara,169,1243775,23.4,28.9,277.2
2013,10,October,Colombo,650,2254259,23.4,29.5,352.7
2013,10,October,Gampaha,256,2316303,23.4,29.9,305.7
2013,10,October,Kalutara,111,1240877,23.4,29.3,352.7
2013,11,November,Colombo,1004,2249006,22.3,30.3,210
2013,11,November,Gampaha,319,2310905,21.6,30.8,166.8
2013,11,November,Kalutara,142,1237985,22.9,29.7,210
2013,12,December,Colombo,1414,2243765,21.1,31.3,120.9
2013,12,December,Gampaha,447,2305520,21.2,30.8,84.1
2013,12,December,Kalutara,265,1235100,22.6,30.3,120.9
2014,1,January,Colombo,1037,2245511,22.2,32.5,36.6
2014,1,January,Gampaha,519,2307314,21.9,32.1,51.1
2014,1,January,Kalutara,213,1236061,22.3,31.6,36.6
2014,2,February,Colombo,684,2247258,20.5,35.3,13.4
2014,2,February,Gampaha,279,2309109,20.4,36,10.9
2014,2,February,Kalutara,175,1237023,21.2,32.5,13.4
2014,3,March,Colombo,589,2249006,22.8,35.8,72.9
2014,3,March,Gampaha,249,2310905,23.4,36.6,68.2
2014,3,March,Kalutara,133,1237985,23.7,33.4,72.9
2014,4,April,Colombo,674,2250756,24,32.9,269.6
2014,4,April,Gampaha,347,2312703,23.9,34.1,253.1
2014,4,April,Kalutara,125,1238948,23.6,32.2,269.6
2014,5,May,Colombo,1508,2252507,24.4,30.5,257.1
2014,5,May,Gampaha,796,2314502,24.3,30.7,225.2
2014,5,May,Kalutara,211,1239912,24.5,30.1,257.1
2014,6,June,Colombo,2825,2254259,24.7,30,177.5
2014,6,June,Gampaha,1337,2316303,24.6,30.1,172
2014,6,June,Kalutara,537,1240876,24.4,29.8,177.5
2014,7,July,Colombo,1577,2256013,24.6,29.5,166.7
2014,7,July,Gampaha,876,2318105,24.4,29.7,159.1
2014,7,July,Kalutara,332,1241842,24.4,29.1,166.7
2014,8,August,Colombo,850,2257768,24,29.4,254.8
2014,8,August,Gampaha,602,2319908,23.8,29.5,247
2014,8,August,Kalutara,188,1242808,23.3,29,254.8
2014,9,September,Colombo,878,2259524,23.7,29.7,269.7
2014,9,September,Gampaha,774,2321713,23.7,30.1,243.3
2014,9,September,Kalutara,165,1243775,23.6,29.3,269.7
2014,10,October,Colombo,917,2261282,23.5,30.4,576.3
2014,10,October,Gampaha,810,2323519,23.1,30.7,480.9
2014,10,October,Kalutara,131,1244742,23.4,29.6,576.3
2014,11,November,Colombo,1448,2263041,22.3,30.4,309.5
2014,11,November,Gampaha,1111,2325327,21.6,30.5,308.3
2014,11,November,Kalutara,182,1245711,22.9,29.5,309.5
2014,12,December,Colombo,1724,2264802,22.3,30.2,466.1
2014,12,December,Gampaha,1111,2327136,22.1,30.7,471.4
2014,12,December,Kalutara,239,1246680,22.5,29.6,466.1
2015,1,January,Colombo,1520,2266539,20.8,32.5,35.8
2015,1,January,Gampaha,637,2328920,21.1,33.2,22.3
2015,1,January,Kalutara,191,1247636,21.6,31.4,35.8
2015,2,February,Colombo,1101,2268277,20.5,34.2,81.2
2015,2,February,Gampaha,492,2330706,19.9,34.7,72.2
2015,2,February,Kalutara,180,1248593,21.8,31.6,81.2
2015,3,March,Colombo,606,2270016,23.3,34.1,146.6
2015,3,March,Gampaha,325,2332493,22.7,34.5,147.7
2015,3,March,Kalutara,126,1249550,23.5,32.6,146.6
2015,4,April,Colombo,366,2271757,23.8,31.8,269.3
2015,4,April,Gampaha,187,2334282,23.9,32.5,265.1
2015,4,April,Kalutara,70,1250508,24.2,31,269.3
2015,5,May,Colombo,403,2273499,24.6,30.7,264.1
2015,5,May,Gampaha,214,2336072,24.5,31.1,240.2
2015,5,May,Kalutara,73,1251467,24.4,30.3,264.1
2015,6,June,Colombo,616,2275242,24.5,30.3,239
2015,6,June,Gampaha,258,2337863,24.4,30.4,235.3
2015,6,June,Kalutara,102,1252427,24.3,30,239
2015,7,July,Colombo,813,2276987,24.1,29.8,209.3
2015,7,July,Gampaha,284,2339656,24.3,29.9,206.9
2015,7,July,Kalutara,103,1253387,24.2,29.4,209.3
2015,8,August,Colombo,830,2278733,24,30.2,182.6
2015,8,August,Gampaha,284,2341450,23.8,30.6,153.6
2015,8,August,Kalutara,116,1254348,23.8,29.5,182.6
2015,9,September,Colombo,389,2280480,23.9,29.9,340
2015,9,September,Gampaha,161,2343245,23.8,30.1,294.9
2015,9,September,Kalutara,47,1255310,23.9,29.5,340
2015,10,October,Colombo,662,2282229,23.4,30.4,581.6
2015,10,October,Gampaha,255,2345042,23.5,30.6,681.2
2015,10,October,Kalutara,104,1256273,23.8,29.9,581.6
2015,11,November,Colombo,1350,2283979,23.6,30.9,334.9
2015,11,November,Gampaha,546,2346840,23.1,31.2,323.2
2015,11,November,Kalutara,234,1257236,23.6,30.3,334.9
2015,12,December,Colombo,1301,2285730,22.4,31.2,295.7
2015,12,December,Gampaha,524,2348640,22.2,31,285.3
2015,12,December,Kalutara,238,1258200,23,30.6,295.7
2016,1,January,Colombo,2298,2287890,21.8,33.6,36
2016,1,January,Gampaha,1088,2350859,21.3,33.6,17
2016,1,January,Kalutara,376,1259389,22.9,31.9,36
2016,2,February,Colombo,2095,2290051,22.7,34.5,58.2
2016,2,February,Gampaha,832,2353080,22.2,35.3,38.1
2016,2,February,Kalutara,365,1260579,22.6,32.2,58.2
2016,3,March,Colombo,1016,2292215,24.7,34.9,43.3
2016,3,March,Gampaha,260,2355304,24.7,36,43.2
2016,3,March,Kalutara,197,1261770,24.4,33.2,43.3
2016,4,April,Colombo,717,2294381,25.6,33.8,103
2016,4,April,Gampaha,213,2357529,25.4,33.8,104.8
2016,4,April,Kalutara,233,1262962,25.4,32.8,103
2016,5,May,Colombo,918,2296549,24.6,32.1,723.3
2016,5,May,Gampaha,284,2359756,24.5,32.5,772.4
2016,5,May,Kalutara,328,1264155,24.8,31.4,723.3
2016,6,June,Colombo,1459,2298719,24.6,29.6,225
2016,6,June,Gampaha,555,2361986,24.3,29.9,226.4
2016,6,June,Kalutara,343,1265350,24.6,29.3,225
